symbol,timestamp,ret_1d,ret_3d,ret_5d,vol_20d,vol_zscore,shap_ret_1d,shap_ret_3d,shap_ret_5d,shap_vol_20d,shap_vol_zscore,prediction,base_value
LNG,2025-11-13 00:00:00-05:00,-0.0011706860052791423,0.008272275938336238,0.028075731842738927,0.010602916704289273,-0.7021682853886433,3.205190200444542e-05,3.0364494214263327e-06,-3.834309205582699e-05,-3.228140199977036e-05,4.6537988328772147e-05,0.0008603387289686266,0.00084933688326958
BP,2025-11-13 00:00:00-05:00,-0.010037991742713803,-0.016971952809194057,0.018704671660049632,0.013598545602669288,-0.4741192981125263,1.9837045751269784e-05,-4.852973102015286e-06,4.000116290638554e-06,-2.841796499657407e-05,2.0435621755727582e-05,0.0008603387289686266,0.00084933688326958
AAPL,2025-11-13 00:00:00-05:00,-0.0019014480979659965,0.013064690743193497,0.012768729995781047,0.012681105181191133,-0.10984114382831228,3.722258094695327e-05,2.831509243052065e-06,-3.1245742299267694e-06,-1.7283701370119867e-05,-8.6439688909121e-06,0.0008603387289686266,0.00084933688326958
AZN,2025-11-13 00:00:00-05:00,0.01060675526846322,0.012917206333513453,0.05777729689912503,0.013992393905684724,0.04993888210960399,6.44867633472429e-05,3.966317906306347e-06,-6.588079945508037e-05,-4.613924213098686e-05,8.039268836446759e-05,0.0008861626113015299,0.00084933688326958
MSFT,2025-11-13 00:00:00-05:00,-0.015357870890138403,-0.00535570788790285,0.012452222809879121,0.012689084308674558,0.2253056339295614,1.1216404038200018e-05,4.770650023370681e-06,-1.7578263190790271e-06,-5.728742171832182e-05,5.4060039674876686e-05,0.0008603387289686266,0.00084933688326958
JPM,2025-11-13 00:00:00-05:00,-0.034112453367990625,-0.023383456079065,-0.01257097373256666,0.012537097099780632,1.1705076768074039,-8.175963041842241e-05,-3.204943158995716e-05,1.6880860405485033e-05,-0.00018106914153072658,-0.00017000419941363076,0.00040133534072232726,0.00084933688326958
BLK,2025-11-13 00:00:00-05:00,-0.022195280658914074,-0.011989311059608876,0.00019648066764421657,0.011256468100704086,-0.3744132699436606,2.42628827686467e-05,-6.183402855800329e-07,-3.144411288450123e-06,-1.0623469629469915e-05,1.1251841338999613e-06,0.0008603387289686266,0.00084933688326958
HSBC,2025-11-13 00:00:00-05:00,-0.00449032808889005,0.01554695630689018,0.023073716635269692,0.011296005969911293,0.9044213810779931,3.3187518810612715e-05,-3.382435585605071e-05,4.560120882763596e-05,-4.9628691984953686e-05,-6.648313639494232e-05,0.0007781894266718808,0.00084933688326958
NVDA,2025-11-13 00:00:00-05:00,-0.03581015057278791,-0.06124094090752119,-0.006486644368404182,0.027613969252990072,0.4028964356643783,1.6074585088024215e-05,4.084199991200987e-06,0.0001499983808988715,0.000627424586655928,0.00019873276534017003,0.0018456514012437748,0.00084933688326958
SHEL,2025-11-13 00:00:00-05:00,-0.006412816440034108,-0.008359461996514606,0.022904776442864927,0.010702129343966466,-0.048748956801703026,2.4351408535556056e-05,9.005282839805934e-06,-3.144411288450123e-06,-1.04031200170405e-05,-8.807314370824781e-06,0.0008603387289686266,0.00084933688326958
